Stazione,Descrizione,Inquinante,Data,Media_Giornaliera,Ore_Disponibili,latitude,longitude
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-12,37.373913043478254,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-13,22.12608695652174,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-14,32.04347826086957,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-16,26.800000000000004,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-17,36.80434782608697,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-18,14.41304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-19,38.82608695652174,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-21,58.891304347826086,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-22,55.77391304347826,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-23,32.49565217391305,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-24,48.86086956521739,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-25,40.327272727272735,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-26,38.93333333333334,21,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-28,34.34782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-30,24.75,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-03-31,28.708695652173915,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-01,14.991304347826086,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-02,33.99130434782607,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-03,39.23913043478261,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-05,43.0,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-07,12.02608695652174,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-10,49.68636363636362,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-16,49.57826086956521,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-17,26.186956521739123,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-21,49.92173913043479,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-04-23,29.465217391304346,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-02,54.8913043478261,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-07,25.673913043478265,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-09,40.84782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-10,46.039130434782614,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-13,38.8304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-15,46.439130434782605,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-16,13.299999999999999,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-17,26.9304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-18,37.51739130434783,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-19,34.573913043478264,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-20,48.53478260869564,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-21,29.278260869565223,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-24,18.48695652173913,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-25,20.169565217391302,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-28,27.308695652173913,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-05-30,18.795652173913044,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-01,38.278260869565216,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-02,32.26521739130435,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-08,30.965217391304346,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-11,51.66956521739131,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-13,74.42608695652173,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-16,30.647826086956524,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-21,38.71739130434782,23,40.8536064,14.25115
